,ROC-AUC,PR-AUC,Brier,ECE,TP,TN,FP,FN,Precision,Sensitivity
Logistic Regression,0.7156139124825287,0.7543575887785675,0.21415359356067734,0.06547283420575037,454.0,135.0,220.0,70.0,0.6735905044510386,0.8664122137404581
Gradient Boosting,0.670978926997097,0.7165471983116232,0.22203058888927396,0.04694280438241563,410.0,162.0,193.0,114.0,0.6799336650082919,0.7824427480916031
XGBoost,0.6796903558757122,0.7186132156714119,0.22112704514950476,0.05872756021759443,404.0,173.0,182.0,120.0,0.689419795221843,0.7709923664122137
