,threshold,C_FP,C_FN,TP,FP,FN,TN,Cost,Mean_alerts,Sens,Spec,Precision,F1,Youden
0,0.47000000000000003,1,1,454,220,70,135,290,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
1,0.001,1,2,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
2,0.001,1,3,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
3,0.001,1,4,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
4,0.001,1,5,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
5,0.001,1,6,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
6,0.001,1,7,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
7,0.001,1,8,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
8,0.001,1,9,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
9,0.001,1,10,524,345,0,10,345,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
10,0.47000000000000003,2,1,454,220,70,135,510,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
11,0.47000000000000003,2,2,454,220,70,135,580,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
12,0.47000000000000003,2,3,454,220,70,135,650,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
13,0.001,2,4,524,345,0,10,690,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
14,0.001,2,5,524,345,0,10,690,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
15,0.001,2,6,524,345,0,10,690,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
16,0.001,2,7,524,345,0,10,690,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
17,0.001,2,8,524,345,0,10,690,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
18,0.001,2,9,524,345,0,10,690,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
19,0.001,2,10,524,345,0,10,690,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
20,0.47000000000000003,3,1,454,220,70,135,730,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
21,0.47000000000000003,3,2,454,220,70,135,800,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
22,0.47000000000000003,3,3,454,220,70,135,870,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
23,0.47000000000000003,3,4,454,220,70,135,940,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
24,0.47000000000000003,4,1,454,220,70,135,950,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
25,0.47000000000000003,3,5,454,220,70,135,1010,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
26,0.47000000000000003,4,2,454,220,70,135,1020,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
27,0.001,3,6,524,345,0,10,1035,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
28,0.001,3,7,524,345,0,10,1035,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
29,0.001,3,8,524,345,0,10,1035,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
30,0.001,3,9,524,345,0,10,1035,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
31,0.001,3,10,524,345,0,10,1035,0.9886234357224118,1.0,0.028169014084507043,0.6029919447640967,0.7523330940416367,0.028169014084507005
32,0.47000000000000003,4,3,454,220,70,135,1090,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
33,0.47000000000000003,4,4,454,220,70,135,1160,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
34,0.47000000000000003,5,1,454,220,70,135,1170,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
35,0.47000000000000003,4,5,454,220,70,135,1230,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
36,0.47000000000000003,5,2,454,220,70,135,1240,0.7667804323094426,0.8664122137404581,0.38028169014084506,0.6735905044510386,0.7579298831385642,0.2466939038813032
