,ROC-AUC,PR-AUC,Brier,ECE,TP,TN,FP,FN,Precision,Sensitivity
logistic_regression_flags,0.7076927212127728,0.7468854254866605,0.21508054962680756,0.07722342101027854,433.0,157.0,198.0,91.0,0.6862123613312203,0.8263358778625954
gradient_boosting_flags,0.6653155574669389,0.7191588292831667,0.23317752189987295,0.09659284049440886,411.0,155.0,200.0,113.0,0.6726677577741408,0.7843511450381679
xgboost_flags,0.6472476077841093,0.7005395918538336,0.24491804838180542,0.12701642763323076,411.0,146.0,209.0,113.0,0.6629032258064517,0.7843511450381679
