"term","OR","CI_low","CI_high","p_value"
"hatypeAura",3.1071166088914,1.60687956316091,6.00802564335188,0.000752256770239253
"hatypeMixed",1.63786076841118,0.741960599406578,3.61553955674464,0.221991681733494
"sexmale",1.08661988189189,0.506885337616845,2.32940801419525,0.830918531279115
"age_band31-40",0.505197702883204,0.173435868653209,1.47157978900429,0.210660898488567
"age_band41-50",0.442071253501518,0.190418673274193,1.02630162164295,0.0574876975282847
"age_band51-66",1.2330853920491,0.575036952572355,2.64417717380271,0.590350804462335
"prev_attacks",1.0153939806216,0.992846194027533,1.03845383311606,0.18241212289828
